"","sample","PC1","PC2","label","tissue","diet","batch"
"1","00Query-00Query-VEH1W",-2.49231388806314,3.59273773147536,"NA-NA",NA,NA,"00Query"
"2","Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity",2.02185581142839,7.05438086355978,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"3","Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity",-10.0702548767725,9.2297344786205,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"4","Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity",9.03699788759369,0.282948651790522,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"5","Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity",-0.854670049101418,7.60930800286013,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"6","Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity",36.1422099267143,-1.08746309612099,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"7","Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity",-22.5142350282999,11.1467232855695,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"8","Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity",-35.5611750192432,9.87343038405892,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"9","Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity",14.9069632197745,2.97907672491618,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"10","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1",8.18798312735533,1.36368212189263,"BAT-AdLib","BAT","CD","Harney"
"11","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2",-7.24427032202517,-4.18802715841871,"BAT-AdLib","BAT","CD","Harney"
"12","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3",-1.78349005663603,2.28091963680132,"BAT-AdLib","BAT","CD","Harney"
"13","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4",-5.62771552684756,4.56030834586305,"BAT-AdLib","BAT","CD","Harney"
"14","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5",10.2776368623632,5.71754147362358,"BAT-AdLib","BAT","CD","Harney"
"15","Johanna-Johanna-LFQ intensity 4442_22_PBS_m",-1.8600572026753,5.24279304156105,"iWAT-Standard Diet","iWAT","CD","Johanna"
"16","Johanna-Johanna-LFQ intensity 4443_22_PBS_m",-15.9419957494553,0.106339156151563,"iWAT-Standard Diet","iWAT","CD","Johanna"
"17","Johanna-Johanna-LFQ intensity 4444_22_PBS_f",-19.1844992645293,1.02841167366404,"iWAT-Standard Diet","iWAT","CD","Johanna"
"18","Johanna-Johanna-LFQ intensity 4445_22_PBS_f",14.1926617362152,-4.95603708685238,"iWAT-Standard Diet","iWAT","CD","Johanna"
"19","Johanna-Johanna-LFQ intensity 4446_22_PBS_f",61.8280219095434,-15.6717812338795,"iWAT-Standard Diet","iWAT","CD","Johanna"
"20","Johanna-Johanna-LFQ intensity 4453_22_PBS_f",-17.7235829706389,-5.90227253600133,"iWAT-Standard Diet","iWAT","CD","Johanna"
"21","Johanna-Johanna-LFQ intensity 4454_22_PBS_f",-28.7558345555788,-2.26459142242203,"iWAT-Standard Diet","iWAT","CD","Johanna"
"22","Johanna-Johanna-LFQ intensity 4455_22_PBS_f",-7.02325531065953,-9.88690479727243,"iWAT-Standard Diet","iWAT","CD","Johanna"
"23","Johanna-Johanna-LFQ intensity 4456_22_PBS_m",31.4792536770661,9.31441438063817,"iWAT-Standard Diet","iWAT","CD","Johanna"
"24","Johanna-Johanna-LFQ intensity 4457_22_PBS_m",-5.89866047998166,-0.352713521902536,"iWAT-Standard Diet","iWAT","CD","Johanna"
"25","Johanna-Johanna-LFQ intensity 4458_22_PBS_m",8.37838628288545,-4.31440288632236,"iWAT-Standard Diet","iWAT","CD","Johanna"
"26","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_1_1857",3.06214900355522,-15.7920638409655,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"27","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_2_2127",9.69586429233689,-5.68090425091015,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"28","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_3_2145",34.2780829547409,-12.6932357066624,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"29","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_4_3253",14.9215430031315,-9.0830361830717,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"30","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_5_4222",11.8819185399213,-12.790634963336,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"31","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_1_1096",5.19271512173048,-10.9097929013077,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"32","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_2_1544",-9.75416041665109,-11.5978082754839,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"33","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_3_2005",25.8339859802051,-12.0706526183996,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"34","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_4_3416",18.3140919699338,-12.7478509737498,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"35","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_5_4224",-0.228679909337146,-8.47596511848418,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"36","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_1_1106",-10.1137253128111,-7.70135829915206,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"37","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_2_1541",-18.0779488860179,-8.83301077819644,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"38","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_3_2002",-14.6079268537417,-10.0835650594543,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"39","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_4_3421",-9.88234175280974,-6.95180667625426,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"40","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_5_4226",-12.9713659269825,-6.84639881879124,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"41","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_1_1427",-1.12122601708771,-13.2139880561234,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"42","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_2_1857",-14.9487914528306,-13.0665958480837,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"43","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_3_2127",9.61470918829546,-4.01913703068004,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"44","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_4_2145",27.1773878148432,3.01131209892952,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"45","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_5_3253",2.64583566262834,-10.2083709290032,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"46","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_6_4222",9.15304762746275,-12.0375864658739,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"47","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_1_1096",10.1437958391901,-18.6677718459694,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
