"","Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity","Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity","Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity","Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity","Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity","Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity","Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity","Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5","Johanna-Johanna-LFQ intensity 4442_22_PBS_m","Johanna-Johanna-LFQ intensity 4443_22_PBS_m","Johanna-Johanna-LFQ intensity 4444_22_PBS_f","Johanna-Johanna-LFQ intensity 4445_22_PBS_f","Johanna-Johanna-LFQ intensity 4446_22_PBS_f","Johanna-Johanna-LFQ intensity 4453_22_PBS_f","Johanna-Johanna-LFQ intensity 4454_22_PBS_f","Johanna-Johanna-LFQ intensity 4455_22_PBS_f","Johanna-Johanna-LFQ intensity 4456_22_PBS_m","Johanna-Johanna-LFQ intensity 4457_22_PBS_m","Johanna-Johanna-LFQ intensity 4458_22_PBS_m","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_1_1857","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_2_2127","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_3_2145","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_4_3253","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_5_4222","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_1_1096","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_2_1544","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_3_2005","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_4_3416","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_5_4224","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_1_1106","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_2_1541","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_3_2002","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_4_3421","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_5_4226","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_1_1427","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_2_1857","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_3_2127","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_4_2145","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_5_3253","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_6_4222","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_1_1096","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_2_1544","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_3_2005","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_4_2179","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_5_3416","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_6_4224","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_1_1106","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_2_1541","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_3_2002","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_4_2172","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_5_3421","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_6_4226","Melina-Melina-RT1","Melina-Melina-RT2","Melina-Melina-RT3","Melina-Melina-RT4","Melina-Melina-RT5","Melina-Melina-RT6","Melina-Melina-Cold1","Melina-Melina-Cold2","Melina-Melina-Cold3","Melina-Melina-Cold4","Melina-Melina-Cold5","Melina-Melina-Cold6","Oeckl-Oeckl-iBAT.T23.WT_1","Oeckl-Oeckl-iBAT.T23.WT_2","Oeckl-Oeckl-iBAT.T23.WT_3","Oeckl-Oeckl-iBAT.T23.WT_4","Oeckl-Oeckl-iWAT.T23.WT_1","Oeckl-Oeckl-iWAT.T23.WT_2","Oeckl-Oeckl-iWAT.T23.WT_3","Oeckl-Oeckl-iWAT.T23.WT_4","Rhabi-Rhabi-VEH1W","Rhabi-Rhabi-VEH2W","Rhabi-Rhabi-VEH3W","Rhabi-Rhabi-VEH4W","Rhabi-Rhabi-VEH5W","Rhabi-Rhabi-VEH1B","Rhabi-Rhabi-VEH2B","Rhabi-Rhabi-VEH3B","Rhabi-Rhabi-VEH4B","Rhabi-Rhabi-VEH5B","WangBAT-WangBAT-Intensity of BAT_CD1","WangBAT-WangBAT-Intensity of BAT_CD2","WangBAT-WangBAT-Intensity of BAT_CD3","WangBAT-WangBAT-Intensity of BAT_CD4","WangBAT-WangBAT-Intensity of BAT_CD5","WangBAT-WangBAT-Intensity of BAT_HFD1","WangBAT-WangBAT-Intensity of BAT_HFD2","WangBAT-WangBAT-Intensity of BAT_HFD3","WangBAT-WangBAT-Intensity of BAT_HFD4","WangBAT-WangBAT-Intensity of BAT_HFD5","WangWAT-WangWAT-Intensity of sWAT_CD1","WangWAT-WangWAT-Intensity of sWAT_CD2","WangWAT-WangWAT-Intensity of sWAT_CD3","WangWAT-WangWAT-Intensity of sWAT_CD4","WangWAT-WangWAT-Intensity of sWAT_CD5","WangWAT-WangWAT-Intensity of sWAT_HFD1","WangWAT-WangWAT-Intensity of sWAT_HFD2","WangWAT-WangWAT-Intensity of sWAT_HFD3","WangWAT-WangWAT-Intensity of sWAT_HFD4","WangWAT-WangWAT-Intensity of sWAT_HFD5","Williams-Williams-Whole CellBAT_C57","Williams-Williams-Whole CellBAT_DBA","Williams-Williams-Whole CellBAT_45","Williams-Williams-Whole CellBAT_66","Williams-Williams-Whole CellBAT_68","Williams-Williams-Whole CellBAT_73","Williams-Williams-Whole CellBAT_80","Williams-Williams-Whole CellBAT_101","00Query-00Query-VEH1W"
"Ighm",2.3090913178324,2.21006354024529,2.13068538837716,2.51615650766448,2.59610237314613,2.71618103133676,2.15981010745185,1.95517979879344,1.98929725642138,2.42872378943732,2.34963413242661,2.56078488785582,2.38457756056468,2.23530113983327,2.11408498531697,2.59668173226827,3.02427018824327,2.49264790712337,1.81167439950362,2.34835821873699,2.32394971785317,2.05621032007202,2.38232953191065,2.64379016928743,1.35864579322106,2.39958847951619,0.463567061800872,1.71540155250147,1.29645735979854,3.62728029586282,2.05577236493848,1.90357266903492,2.43029833161437,2.21650869860218,3.62616868796637,3.13851619985241,2.62170379763152,3.25465777506925,3.51430984210393,2.1766094404525,2.4383809108879,1.99662189376773,1.0675995772109,2.08790885348101,1.93575801850444,2.05464934852234,2.15838074214237,3.69394536233533,2.22461428020263,1.66415947405501,2.32953103575506,2.05873117020083,2.73147868226937,2.08225461316996,2.81547334463959,2.54936811164364,1.9505488094869,2.10466168399776,1.53608416696959,2.27507137097001,2.17758056967873,2.51662963812437,2.43620379106122,2.65690666004614,2.77661301253211,2.71030024953744,2.59529186451149,3.04881281664962,2.202502964284,2.33700822401862,2.17513703333716,2.1404933533007,2.1560950432952,2.59729933675359,2.72627592495682,2.55308377729977,2.51287082923151,2.41847460309925,2.4086562537498,2.42009171285241,2.41580582946208,2.41426339504908,2.36848557948816,2.36567526101367,2.36517479393768,2.35395045104742,2.35628599461343,2.14216362589791,2.68455367791294,2.43175663374893,2.52776495875669,2.35464725666636,1.72214108553121,3.06707936117691,2.38666215645077,2.15685486225179,2.08478111767853,2.1815010103353,2.76432199100725,2.46817859354529,2.35243185009903,2.45982945745655,2.00110824382398,2.98515114491257,2.4281018176695,2.56875970534611,2.24383708183554,2.84647893981245,2.23517062517971,2.3166210830424,2.7599707274523,2.63004149959258,1.74974641552904,2.02075641405961,2.54111286578242,2.38958495700252
"Dhx9",1.42707348149336,1.35236255020313,1.42485211026108,1.61671765108272,1.64419585409435,2.13736265887597,1.04704514947637,0.893791051901641,1.62747806394029,1.32535575914098,1.15950509522421,1.24386588874397,1.74286192540912,1.21901275526707,1.22564542084054,1.30695623848757,1.7356900387249,1.97570398554188,1.47820423211835,1.38089923393561,1.55255302412907,1.37478397549284,1.16659293505733,1.45738681244854,0.646417883664512,0.962174694313344,0.981878722144337,1.0897463988754,1.23053715329814,1.12302055763261,1.17929595244219,0.854708762311955,1.25305420041862,1.22060214144608,1.40626198216419,1.27682623444398,1.19519647100075,1.49013380764407,1.4438887307217,1.08707365843694,1.16408865108795,1.12759111853201,1.22609158445426,0.972982491371155,1.0049551713643,0.888023726546944,1.18592664428534,1.11352167671091,1.06904291424678,1.06421728826695,1.13139688658709,1.4625599724648,1.4058269946961,1.27579958796232,1.24182785124768,1.41220596006408,1.44504382231032,0.691446999313174,1.66023149084925,1.06207293860405,1.23471394268131,0.980826455743339,1.44424652919797,0.309381766164917,1.23380694929897,-0.314120607713501,2.88215890773353,3.76721553435502,2.71862236659243,1.370315523673,1.36144896087177,1.38835583799774,1.38190625335902,1.59698019103968,1.6363734764832,1.60300653263749,1.5848862523678,1.48084652073787,1.49041525014899,1.49140301763268,1.49269804519356,1.4868758258454,1.45011529808931,1.45121766983619,1.45555384517836,1.45290724962302,1.45795557955931,1.56000980089001,1.56165951052446,1.45589311193377,1.50006399585808,1.71759654350989,1.57180435967112,1.44373381691669,1.43051627229256,1.58337422271827,1.36758418871632,1.50209370362263,1.68046506217707,1.57249216028659,1.50547481311534,1.48932537589587,1.34260589129406,1.44140279792223,1.60351844982883,1.70024062426386,1.71339631712049,1.53206829815793,1.69392433662171,1.37090283898191,1.57680575380595,1.45348327288452,1.45047733988351,1.21265249775007,1.51517436514083,1.47122309485987
"Bzw1",1.52251852947161,1.50462429982265,1.33092274016355,1.63265615717271,1.84151376978466,1.70821567041723,1.65240500581911,1.55602866691386,5.21881724215805,5.21439983587107,4.98594540749855,-13.307753886047,5.08877760791681,1.31122309333507,1.21572372692938,1.37057447646005,1.82441189345871,1.81275309915624,1.50200280141527,1.08279812281472,1.49817046542226,1.52991336735538,1.30626121114007,1.27159032749624,1.42518625117251,1.46832712910442,1.63813067403218,1.38895886655771,1.44205582645791,1.39347721577644,1.39701691630183,1.4753916510407,1.23196625656574,1.12417660747221,1.39256800105067,1.41664016566819,1.38508834259278,1.48026716919873,1.39978670086393,1.46388934438798,1.30227656043597,1.32122322290712,1.42328795995951,1.13302824667157,1.23032508660117,1.63272586730266,1.28560235477106,1.31689676634621,1.40856684777305,1.38923824871332,1.13641988727833,1.52279468404414,1.45363022893129,1.42715284030161,1.35764147165856,1.35015127219435,1.42021742251463,2.13757706787104,1.45824536897527,2.40999207532238,1.90068151508712,1.83737515233735,2.22115810938722,2.72637350124946,2.66468998223405,0.843704713796443,0.913631456084687,1.10608373915066,2.36422834265085,2.30399717129617,2.30649662297291,2.25976072228612,2.25402672993263,1.53644204482435,1.2060050373244,1.33001733620755,1.37209225074007,1.82027828099156,1.82692953787369,1.82203479638967,1.83220588093476,1.8208385395092,1.73704373538767,1.7490857713702,1.73163933040163,1.74914440415123,1.74735051701546,1.88520772604512,3.09770488798044,1.34982365639178,1.28741355905251,2.42207192791356,1.49650276407991,1.62491370525984,2.01475700008458,1.66901388513401,1.45001549941632,1.90788029254503,2.1535974010543,1.88891453511292,1.78254237335316,1.73955317461827,1.83935126703789,1.85409302789555,2.1966117544002,2.12816350308161,1.77562133618323,2.10630636022009,1.76915643629499,1.87213759977216,1.69784539663563,1.66601301821091,1.77501956589032,1.93792338497067,1.62948611015837,1.78340003943559
"Adhfe1",3.00694331884545,2.83664739728622,2.8087164362226,2.96325355319173,3.21118722161376,2.95513680807827,2.72522836718439,2.76448309537121,3.0066507746107,2.56934503262432,2.87387050497743,3.12001429716448,3.04942713452486,2.97669216010433,2.91266306766124,2.72335738396846,2.94634540526514,3.34466734935022,2.5923742629852,2.60895936102993,2.77662786616922,3.120579856165,2.83183710489291,3.22073984807559,2.8781412956289,3.09604187676871,3.18489426597056,3.18522882387,2.95084241824122,3.04131406662361,2.88887720730579,3.05605013056427,3.18232294887724,2.82116975768344,2.88203604477566,2.81393046231659,2.74079783533213,2.90813128049887,2.83730801849275,2.97053316024179,2.61823165416357,3.0327721801071,3.06094203422969,3.04140373756519,2.97065831819599,3.01405285002693,2.87000295289748,3.03758767041802,3.14441484307762,3.12022120182015,2.80772013782283,3.17489586244615,2.97712678882006,2.94433224881828,2.99967210281939,2.85129372272943,3.07809570410671,2.22896241522608,2.95248619707992,2.92730900806706,2.9878582615384,2.51613037625763,2.68220401229965,3.05524092941728,2.94972644221442,3.10876273690468,2.80085055708719,3.05357184404381,3.1889674659698,2.86232453317295,2.8524865066926,2.90041924403663,2.91692495376155,2.88074141159876,2.90850504323215,2.88723085426705,2.78107810859488,2.79534480201916,2.77639720277753,2.78596616292179,2.77426186644693,2.78286498507382,2.96919770704424,2.96770989282167,2.97489973936138,2.96887806862393,2.96972408619594,2.74362703050406,2.85555856907673,2.92283481840807,2.83040490184248,2.86864764703768,2.82474974017728,3.00885292980394,2.99717840485246,3.04531440619878,2.90599345214982,2.90123932810915,2.99427345185377,2.95785230587866,2.74460141868353,2.94618441067861,2.51322896513406,2.6723768875967,2.67239040437349,2.74493055267223,2.95649128972092,2.82135616285187,2.71507689858929,2.87481092493738,2.80048116326625,2.93734681370852,3.12033231753402,3.03139601660397,2.67167943569161,2.8751709280501
"Tardbp",1.77625303305271,1.56578638725535,1.62090019967356,1.76201876845252,1.81183940671434,2.16656342166805,1.57184481469924,1.24906136918821,1.8199778896775,1.46460059378469,1.63567271024516,1.73668172440251,2.00795407996673,1.61112672684763,1.56357279811397,1.75495453679056,1.90291652785316,2.25103545805511,1.82744348548251,1.74663312007901,1.79404756992824,1.70073436455639,1.51464335218287,1.67256136593582,1.67602650159268,1.67558106215924,1.45205340875898,1.47690303677723,1.56227698158851,1.64488536898393,1.77126114015191,1.65826528147222,1.39680601471056,1.71753847221493,1.75711553557745,1.77578029656835,1.91426468218373,1.75758434953261,1.72180162406415,1.52108044087792,1.66339676078134,1.71539176758258,1.68651924990023,1.61483671327787,1.78256623746549,1.37974481143131,1.70897187592559,1.71422506916105,1.72445702353987,1.61117680927441,1.82850757157152,1.36876415452667,1.7613797439703,1.77651723727149,1.62423860461735,1.65957229293935,1.51948878934281,1.96429119915874,2.00164371588561,1.89720487900787,1.44318477000897,1.74138670219415,1.68550531642804,2.19212279524129,1.84550192239046,1.38769716384516,1.22071644560497,2.97492894281543,0.376556971327581,1.58965910635312,1.57936101577301,1.54132177331429,1.61163436357412,1.83856029700712,1.82581111479666,1.90749909303066,2.03972741970987,1.7404362516902,1.74080136612328,1.73991397391531,1.74144660418135,1.73667423253529,1.73243628475544,1.73071851420793,1.73655589180172,1.73362498977324,1.72745484004739,1.61278724752968,1.78016802351144,1.68757852448236,1.65593721869872,1.8641827154532,1.73259075095106,1.62994914074166,1.61032098752954,1.65403184065022,1.47104244959091,1.68928509090075,1.77579777101651,1.92097113991145,1.80875807386288,1.40188406994802,1.65493297857694,1.75724192108207,1.68270153850503,1.78227411736843,1.69894000307863,1.64861961204241,1.58130892997034,1.72074782139139,1.63206913654891,1.83683847496274,1.94336814004941,1.8522014040739,1.63609905065196,1.73635703462196
"Stat1",1.99448591009801,1.96735542306273,1.87660193671903,2.09692232349065,2.09850918054852,2.37380827174426,1.80060506804643,1.79754388676775,2.29075566505733,1.96384182712271,1.50046667095991,1.94856845979851,2.40262264704907,1.87858924783599,1.86614659608494,1.98905628362738,2.18504740687732,2.39507097169823,2.06522665561991,1.9505736885389,2.04170948018562,2.10285796274755,2.1195473634491,1.8926942757852,1.82943633397489,2.13273713077394,1.78179305753653,1.56647110692894,1.64887271980237,2.49575116795584,1.84941728157233,1.51578084558232,1.82960386726376,1.65845823172605,2.85838516246702,2.47474462359049,1.86343659019699,2.17782219658089,3.07736573160452,2.00389265616926,1.67449094196015,1.996901880006,2.43026830508486,1.74870969877163,2.00048519028338,1.98467793702481,1.84852345617914,1.95137971481924,2.37854816401799,1.89531492935245,1.6603497476008,2.11908765638486,2.01282572898229,1.95218876515336,2.1223286669741,2.06526286043801,2.12602621729041,2.8226740915055,2.07757719414089,2.64190692931422,2.48773129736867,2.68074576346569,1.43672829891199,1.9184280334609,1.50990761164947,1.70558820727814,2.56337684409333,1.62010390252587,0.52691948208196,1.81439067666041,1.87213848907166,1.93660744837611,1.84896358763356,2.2546535313668,2.18332703137856,2.21301607306921,2.19483647735227,2.0721873715418,2.09088141061394,2.07242599235511,2.10060379371487,2.07211740484233,1.98827518408501,1.99499628354813,1.99283820510815,2.00170642054283,1.98572168897744,2.04149998866588,1.92607943030683,2.03459192966866,2.07674844441697,2.17565709274963,1.88040415259509,1.90956211202903,1.92938327213272,1.72308911792541,1.56122646799237,2.15629259421475,2.13344322093758,1.99238195206429,2.09597828566847,1.83736952831568,1.79685260386691,2.04868096216464,2.25919168545132,2.05533422577096,2.00213570990863,2.23139031455384,2.13089264615067,1.95680874712057,1.83743394155723,1.76604914731847,1.94973154666492,2.24395241122968,2.21562859614385,2.03826906556018
"Gcdh",1.96611158706883,1.8709573826395,1.80210245475169,1.84452474020715,2.1489704584286,2.32063869094319,1.50633484785581,1.31822359120513,1.75191989833011,1.78348766778498,1.84138761611482,1.65386237194056,2.15127654258366,1.63958933030291,1.79501834305526,1.64790293150574,1.98470893541675,2.42266076959293,1.55157012905346,1.66759173793978,1.83182916721424,2.07118966317844,1.61362247714247,1.93993774973623,1.82433233312179,1.88709819596353,2.20021017754343,2.03626816851206,1.95826783212511,1.78684363352358,1.84273279087902,2.02729099377171,2.0966548611963,1.68059502468032,1.64501815521289,1.49425505933032,1.38460274992256,1.61834118066079,1.61172848088388,1.71595146466706,1.65144169189225,1.9664603287859,2.18496602453101,1.89128167081038,1.96058999048067,1.74140112412668,1.79825997277502,1.96902843025822,2.12541517777182,1.92632076911235,1.77517329763258,1.79911339752121,1.68295378961923,1.5798081308647,1.93616219613825,1.58739550299107,1.60511237242706,1.53670070556212,2.04201253124303,1.98321840053233,2.12537755544945,2.5999880929336,1.58103344083321,1.5560513413084,1.56242771613997,1.70438629665823,1.75070589534714,1.28847686176492,2.14721677175691,1.93198447276425,1.93766268071482,1.96110053712989,1.9871229971727,1.69179302968075,1.66394497981507,1.8004655500332,1.77417818138617,1.78353755029695,1.77836806949892,1.77525769761653,1.79516159316107,1.7737206540285,1.87950107771648,1.88660562113426,1.88329807389324,1.88868487984283,1.8853714390031,1.39526328322605,1.60330468423143,1.6971081274688,1.56108520173176,1.53190308692453,2.04655136741852,2.0731912380599,2.0644341512639,2.00811696094085,2.07338981777607,1.79515599421435,1.92383131967507,1.79190992273074,1.69902374563705,1.80781123169235,1.46981172631683,1.83459156258237,1.61028967277674,1.55896078431343,1.44363827382876,1.75092601935102,1.90603888612051,2.10063234203071,1.93056048912575,1.67101047879489,1.26966041116217,1.73187132715732,2.08833890716146,1.83201399216434
"S100a13",1.56663828683951,1.28838890917395,1.52158758277272,0.940155423791901,1.43194469570812,0.572681512863238,2.11003147446313,1.95186644287329,0.904536112458841,0.580765671080373,0.772368438060179,0.908299760105784,0.774804143825983,0.651558140990807,0.706813741084477,0.753464463098886,0.87664785782595,1.03444756113803,0.397285301149963,0.747608116540493,0.668255889017387,1.12814017206828,0.568780953308234,1.07623038298423,5.66686240557473,5.61624193227265,6.09026846563507,6.06992682498905,5.86593317940607,-12.275822510688,5.97879558815895,6.41489265828507,5.53835449461048,-12.3045801644565,-12.3582110893798,5.92652288954346,-12.3688655450406,5.23044935888149,-12.3690421610762,0.632521980023035,0.249899070873507,0.676996391025223,1.04573948490512,0.669000626829614,0.351078089460958,0.94647013830848,0.568101640142334,0.348904801223149,0.327618070285332,0.469798161917076,0.320218576125828,0.341520673034892,0.619949294138351,0.401953407317343,0.273853848580035,0.524911754866316,0.573626801801754,0.936575188050327,1.3950324280832,1.73901456171417,1.6814904275773,1.5366607087134,1.76065510028501,2.04039011459757,2.29065096640776,1.94508101232906,1.91334659025261,2.08160911698851,1.90959771293986,1.62592851599011,1.62343288997802,1.66857079919671,1.70983436969368,1.83358440932073,1.87137086965196,1.54432880221989,1.31942949518264,1.51481158359535,1.51036389282567,1.5163238767874,1.53541619034029,1.51851529104344,1.52553904635331,1.52557471008545,1.53173636592081,1.5359310434942,1.54886543108779,1.37908345205035,1.36227235748831,1.71198084363751,1.95800286597601,1.76081498680563,1.21518391956204,1.42045629475815,2.10954294022752,1.60397444610667,2.05268022738095,1.62749476558633,1.83013099302062,1.16461757946074,1.38234075746805,1.63112901105501,1.80973031413728,1.91398600371452,1.98325432893242,2.19159497876095,1.40451399398555,1.84441451044545,1.53044535742959,1.4376333591173,1.55379453002319,1.66749962775786,1.77243002924874,1.68692840054935,1.40684558848429,1.52312089410216
"Rpl31",2.25819307962033,1.85959268730789,2.00398978073154,2.06221895649923,2.26332203693401,2.20940187553536,1.7928899852752,1.77492221272347,2.02052563109061,2.16940986591527,1.71537699646398,1.78397961789368,2.11552805642751,1.99268711398627,2.25665828619867,0.818421492363283,2.32310414442236,2.98542235227323,1.4366448512498,1.21571845091202,2.371081634065,2.10646587912603,1.73870809958836,2.30753157710748,1.95761357218073,2.15188539073047,1.98300691152303,1.88894655833916,1.92312243304951,2.08038299002521,1.56360062797465,2.00598045813981,1.75057595871557,1.78525143929852,1.88221590108096,1.66206134723567,1.88104261828111,1.50643890099292,1.98651339314043,1.77631665610999,1.67924293092542,1.80871839765281,2.07860452796322,1.78182237490583,1.95311689521766,1.77880136030171,1.90717832379172,1.82404247806955,2.10874768181084,1.86190410984429,1.6805019761389,1.80461263130435,1.55224072832317,1.8528887479869,1.8065810118914,1.9146540420579,1.77053250725108,1.48629383967792,4.9265826837612,1.24710478220337,2.61736505773225,1.93052308308674,1.69670778942339,1.16979955904681,1.90593623247338,2.41749898142189,2.32978073944248,2.2911190776911,0.513196579117421,2.7996681960785,2.71070742160455,2.73064024017742,2.78116286570388,1.74064569252965,0.137968954240457,1.42420794907343,1.57183140933076,1.9874334106127,2.0165369246225,1.98845606469412,1.99902333579452,2.00701434288368,2.02725262394621,2.02767156338119,2.02827813946773,2.02610548960124,2.03240383149436,1.96428025372756,1.83904539392795,1.92950847930236,1.97421213404556,1.94356268680251,2.14272474118021,1.95257482176438,2.16522951654258,2.13296292149501,1.91334723570423,2.01089259155294,2.21507996184487,2.15322932880467,2.11297506171594,1.88208483213345,1.90278625442518,1.98643545033581,2.11503275957807,1.96827916882802,2.22501734981566,2.16748750144972,1.94023543925017,2.16233763096033,2.00134506294731,1.9580281773753,2.0033794255953,2.02832406734823,2.02304888220837,2.01343687547325
"Ndufs2",1.99734708963802,1.9771950467702,3.39507528674136,3.16660920046236,3.26241837164733,3.83942755528485,2.76500561043727,2.35083714087753,3.15930023040465,2.86308630087082,2.88189686722736,2.95444841093027,3.33476651256058,2.90914671923008,2.91201518030272,2.9376576986394,3.14386323230874,3.58115580711516,3.01337475475562,2.61781057130195,3.09001281373145,3.36543452345549,2.91164812977408,3.06150516207175,3.03994514863109,3.22390117913111,3.39323531705857,3.15412188991012,3.14625269807299,3.07164959215162,2.76142338279596,3.34961074498453,3.37921418040709,3.21493017669604,2.91560093222511,2.57220342225171,2.7997577651059,2.81071511136889,2.7364840005474,2.84966338009517,2.96790522246458,3.10137713095867,3.60724660232902,3.05035260274823,3.17530506759042,3.00595283460785,3.14390632882002,3.43688118261308,3.49382078649348,2.90646449752831,3.11281321686291,2.80469006188666,2.9409745935246,2.85225108376531,3.27119293765907,2.74798831936787,2.54333594533083,2.27363460854748,2.54588262732902,2.87610797201734,3.0495875031676,3.2722269375826,3.25574176479354,3.51369514019778,3.05721606296166,3.11860248638359,3.20441232838393,3.17895746631521,3.28308752261528,3.12414990336296,3.11220600032305,3.14224951131201,3.14598473437579,2.9348023342548,2.91745503917359,2.90974471471155,2.91188430223195,2.94627190371224,2.93385211320164,2.9512621667264,2.94487096244258,2.94638277209535,3.09410504721315,3.0890302323515,3.09458988764852,3.09390365296606,3.09487351653183,2.83416116602762,2.88660138334379,2.85926781500187,2.97359237716502,3.01319779045059,3.18272412284527,3.47861266834728,3.38055295039331,3.43588523626094,3.33602428811345,3.20666638235836,3.10362884791368,3.26542119898848,3.24297663590677,3.1870712911297,2.83074362153223,2.84458129213763,2.66425116496314,2.62511838567695,2.91897064901284,2.96674244600401,3.06838050361589,3.00310838452722,2.87054060232301,2.90261235313948,3.05353481934442,3.10803459716086,3.11634462895352,3.01766162866519
