,pca_browning_score_PC1,pca_browning_score_PC2,lda_browning_score_Brown,lda_browning_score_White,lda_browning_score_Brown_lasso,lda_browning_score_White_lasso,rf_browning_score_Brown,rf_browning_score_White,lr_browning_score_Brown,lr_browning_score_White,lr_browning_score_Brown_markers,lr_browning_score_White_markers,Composite_Score,e-net_tissue_score_BAT,e-net_tissue_score_WAT,e-net_tissue_score_eWAT,e-net_tissue_score_iWAT,Status,Batch
Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity,82.91404710715041,62.66040578890149,99.99999996576292,3.4237067655500536e-08,100.0,0.0,99.0,1.0,99.32384997324777,0.6761500267522234,99.21205514210708,0.7879448578929263,73.94685258468994,94.818719198586,1.9854480224496949,0.3601968762412988,4.436908971099309,Brown,Haas2021
Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity,84.37508879122763,61.87179773027818,99.99999975785512,2.421448824670703e-07,100.0,0.0,98.0,2.0,99.29363364786738,0.7063663521326216,99.44043740892887,0.5595625910711335,74.12811864323761,91.9153094205481,3.5077862440807284,0.6630371862409281,6.4648340253641035,Brown,Haas2021
Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity,83.31049142499698,62.34748321266122,99.99957380226753,0.00042619773246368835,100.0,0.0,97.0,3.0,99.3726068857289,0.6273931142711053,98.87263497008557,1.127365029914425,73.92374226459418,93.53563182247206,3.5710792939602762,0.4030020252393187,4.593465580796687,Brown,Haas2021
Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity,82.985773584878,61.0864659363137,99.99999998082292,1.9177077475935642e-08,100.0,0.0,96.0,4.0,97.97650199128405,2.0234980087159493,92.1006708721969,7.899329127803104,72.83394535248664,57.561723068662744,6.282274180860777,3.66682654017636,44.479213970133216,Brown,Haas2021
Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity,83.07262808985757,62.24713033073258,99.99999999909441,9.055850638487367e-10,100.0,0.0,100.0,0.0,99.9972752217831,0.0027247782169022225,99.91899208473508,0.08100791526491861,73.72708755061986,82.8758300613943,7.037276190059395,1.3390712293414364,14.068022083297917,Brown,Haas2022
Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity,83.58241418173247,61.8039535367091,99.9999999999999,9.911471142864698e-14,100.0,0.0,95.0,5.0,100.0,0.0,99.59503991175315,0.404960088246848,73.66756367465766,59.84325608415352,21.736547212862376,4.927347982473582,26.87653707288456,Brown,Haas2022
Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity,84.49289705849445,61.52439418756538,99.99396836664573,0.006031633354274991,100.0,0.0,99.0,1.0,99.98695440533639,0.013045594663605706,100.0,0.0,73.93534739978634,94.75384836796073,4.28041674339265,0.14646420728413015,2.6463872508560637,Brown,Haas2022
Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity,83.9659264560336,61.194529190005966,99.99999999954824,4.5176125020217425e-10,100.0,0.0,96.0,4.0,99.82264043836558,0.17735956163442734,99.73933155213193,0.2606684478680636,73.42109127297407,96.39923847535128,1.9031026889706881,0.049759836300068534,2.784981922724295,Brown,Haas2022
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1,83.22738358562172,60.40393059844927,99.99999999935774,6.422638479395329e-10,100.0,0.0,97.0,3.0,99.77771645646541,0.22228354353458682,98.7936240654102,1.206375934589804,72.46047741995295,19.891946006091352,4.91440814582732,34.93111493454398,67.7869931725169,Brown,Harney
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2,66.35632564181961,50.21848650107081,99.99999981303341,1.8696658934128943e-07,100.0,0.0,98.0,2.0,99.16581787231549,0.834182127684521,82.46955024223458,17.530449757765428,56.27066973356737,28.483718798727416,29.907487511682316,11.735867595692614,53.31920617065904,Brown,Harney
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3,75.28845393420156,58.54691623331398,99.99999994307403,5.6925977129781514e-08,100.0,0.0,99.0,1.0,99.54770957600432,0.45229042399568326,96.28976133869672,3.7102386613032787,66.98741481184555,32.31896265285261,9.549819375036929,2.1278195105673046,74.3052411731621,Brown,Harney
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4,79.64874301847294,65.03723556175333,99.99999996478019,3.521981367007473e-08,100.0,0.0,95.0,5.0,99.42621569534118,0.5737843046588162,95.9215380797268,4.0784619202732,73.9906564142208,6.00147012455409,33.27575886287713,1.999826339194677,86.14537131745861,Brown,Harney
Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5,81.3049641731165,70.90157452020603,99.99999997808,2.1920004521619934e-08,100.0,0.0,98.0,2.0,99.72326385652842,0.2767361434715813,96.56614350991123,3.4338564900887723,79.13450068562331,86.3211341027034,0.9581316509450509,2.2908354439365173,14.41779124924183,Brown,Harney
Johanna-Johanna-LFQ intensity 4442_22_PBS_m,87.02381506670578,91.49817628735418,0.0,100.0,0.0,100.0,62.0,38.0,38.93107238675962,61.06892761324038,96.86133749116203,3.1386625088379696,97.14973862208987,16.305854205994354,32.76647701405341,8.549896767502894,68.51512074082072,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4443_22_PBS_m,66.42939653489833,60.8112238090957,0.0,100.0,0.0,100.0,55.00000000000001,45.0,35.98960871941539,64.0103912805846,0.008216558406755996,99.99178344159326,64.04878683218607,1.4400800819990234,34.18181068159679,17.69427585161593,78.51975794979847,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4444_22_PBS_f,63.664703692959,52.5741974702206,99.98529338353669,0.014706616463311967,0.0,100.0,56.00000000000001,44.0,48.81193256256335,51.18806743743665,3.448924363931326e-08,99.99999996551077,56.596480569987705,28.844223652316177,1.2779928206482216,8.6476669510153,80.80375181871864,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4445_22_PBS_f,40.235177062273465,3.228979576011284,100.0,7.305127951275296e-98,0.0,100.0,48.0,52.0,67.10260168435222,32.89739831564778,0.037691784436441916,99.96230821556357,8.3917979735606,9.377346058975682,43.45773647191489,12.636250900614277,64.39259751973026,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4446_22_PBS_f,34.096538079910296,8.967859280760862,99.9999999986092,1.390803608085865e-09,0.0,100.0,54.0,46.0,77.0030789551418,22.996921044858208,1.2058115827229151e-05,99.99998794188419,9.402542519702116,0.25370055375998396,28.34579795604715,15.905140219781744,86.6193811132653,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4453_22_PBS_f,46.36595806263307,31.741386366401297,100.0,1.65382593391179e-58,0.0,100.0,61.0,39.0,46.10240307196653,53.89759692803347,0.0001372384966805985,99.99986276150332,32.404777986751384,2.497084527922474,38.40372428726206,6.493861765792385,82.37386933335578,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4454_22_PBS_f,85.94679521730666,60.265092221466006,4.440892098500626e-14,99.99999999999996,0.0,100.0,65.0,35.0,42.53166432403325,57.46833567596675,0.0,100.0,73.7689684219738,1.2450786031679213,99.99999999999999,1.084746345201603,33.445300478139465,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4455_22_PBS_f,28.60034680534504,0.0,100.0,8.50473743948022e-137,0.0,100.0,49.0,51.0,43.14895878802795,56.85104121197205,0.001013997847390234,99.99898600215262,0.0,0.18578348947400633,4.461588283522408,43.007209720163395,86.3469156014421,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4456_22_PBS_m,80.5391652561778,99.99999999999999,0.0,100.0,0.0,100.0,59.0,41.0,80.96113130738173,19.038868692618262,99.55830486049835,0.4416951395016497,100.0,45.53815169625586,6.1525873372431645,15.42755683190075,50.22512326003934,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4457_22_PBS_m,71.01414847899026,94.32076002660162,0.0,100.0,0.0,100.0,55.00000000000001,45.0,55.7034616724648,44.2965383275352,99.98558857615038,0.014411423849624579,90.91165082729421,0.38862155052165936,5.972512275669273,24.555564671430314,99.4603478394427,Intermediate,Johanna
Johanna-Johanna-LFQ intensity 4458_22_PBS_m,64.64931519648057,71.48401338547725,100.0,2.85030006266109e-93,0.0,100.0,51.0,49.0,28.434764404069366,71.56523559593063,2.305543903733605e-07,99.99999976944562,70.92458945110053,0.15921080910853655,70.68967567981701,9.009107794696686,54.560894076167486,Intermediate,Johanna
KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_1_1857,19.662860865557562,67.89737150131215,6.753421821770189e-07,99.99999932465782,0.0,100.0,2.0,98.0,0.0,100.0,2.9471988672625447,97.05280113273746,44.97952393878664,1.5294419956740332e-05,0.0076537335937207265,92.44361848762779,51.127485460290266,White,KristinaeWAT
KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_2_2127,40.658583214831545,65.38795508943252,3.7592373658412725e-08,99.99999996240763,0.0,100.0,5.0,95.0,1.226694939625166,98.77330506037484,6.09561978851461,93.9043802114854,54.03158235927339,0.012053301925975214,0.1247401314557055,86.5058045911199,55.742315178833785,White,KristinaeWAT
KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_3_2145,0.0,92.50913459624076,2.1049828546892968e-11,99.99999999997895,0.0,100.0,7.000000000000001,93.0,0.5441044820884043,99.4558955179116,1.706441145905844,98.29355885409416,52.768950637226084,0.001178607797605,9.002626794931837e-05,46.89572957599798,87.44664053515054,White,KristinaeWAT
